Pair,Year,Cointegration Ratio
"['COIN', 'CVX']",2023,0.07934760856513909
"['MU', 'VZ']",2023,0.0793
"['MARA', 'SNAP']",2023,0.07910791079107911
"['COIN', 'CSCO']",2023,0.07845491844291004
"['TSLA', 'VZ']",2023,0.07792337701310394
"['TSLA', 'WMT']",2023,0.07781672508763145
"['MARA', 'XOM']",2023,0.07736188951160929
"['TSLA', 'WBA']",2023,0.07695386770739518
"['TSLA', 'XOM']",2023,0.07621432148222333
"['AMD', 'VZ']",2023,0.075
"['TSLA', 'UBER']",2023,0.07271454290858172
